Construct_Name,Source,Definition_Text,Paper_Count,Reference_URLs
Face validity,OpenAlex,Face validity is the extent to which a test is subjectively viewed as covering the concept it purports to measure. It refers to the transparency or relevance of a test as it appears to test participants.,22,"https://doi.org/10.1348/096317902167658,https://doi.org/10.1037/0021-9010.82.1.143,https://doi.org/10.1016/j.jvb.2008.01.004"
Individual capital,OpenAlex,"Individual capital, the economic view of talent, comprises inalienable or personal traits of persons, tied to their bodies and available only through their own free will, such as skill, creativity, enterprise, courage, capacity for moral example,  non-communicable wisdom, invention or empathy, non-transferable personal trust and leadership.   == As recognized in theories of economics == Individual talent and initiative were recognized as an intangible quality of persons in economics back to at least Adam Smith.",22,"https://doi.org/10.5465/amj.2005.17407911,https://doi.org/10.1037/a0022147,https://doi.org/10.2307/30040630"
Leisure time,OpenAlex,"Leisure (UK: , US: ) has often been defined as a quality of experience or as free time. Free time is time spent away from business, work, job hunting, domestic chores, and education, as well as necessary activities such as eating and sleeping.",22,"https://doi.org/10.1037/0021-9010.88.3.518,https://doi.org/10.1002/job.1796,https://doi.org/10.1348/096317910x485737"
Liberal arts education,OpenAlex,"Liberal arts education (from Latin liberalis 'free' and ars 'art or principled practice') is a traditional academic course in Western higher education, which traditionally covers the natural sciences, social sciences, arts, and humanities. Liberal arts takes the term art in the sense of a learned skill rather than specifically the fine arts.",22,"https://doi.org/10.1016/0001-8791(83)90006-4,https://doi.org/10.5465/amj.2010.57319260,https://doi.org/10.1037/h0025342"
Protégé,OpenAlex,"Mentorship is the patronage, influence, guidance, or direction given by a mentor. A mentor is someone who teaches or gives help and advice to a less experienced and often younger person.",22,"https://doi.org/10.1111/j.1744-6570.1988.tb00638.x,https://doi.org/10.1111/j.1744-6570.1992.tb00863.x,https://doi.org/10.2307/256706"
Racial differences,OpenAlex,"Race is a categorization of humans based on shared physical or social qualities into groups generally viewed as distinct within a given society. The term came into common usage during the 16th century, when it was used to refer to groups of various kinds, including those characterized by close kinship relations.",22,"https://doi.org/10.1016/s0149-2063(02)00192-7,https://doi.org/10.1037/0021-9010.83.2.179,https://doi.org/10.1037/0021-9010.91.3.538"
Social cognitive theory of morality,OpenAlex,"The social cognitive theory of morality attempts to explain how moral thinking, in interaction with other psychosocial determinants, govern individual moral conduct. Social cognitive theory adopts an interactionist perspective to the development of moral behavior.",22,"https://doi.org/10.1037/0021-9010.93.2.374,https://doi.org/10.1037/0021-9010.92.6.1610,https://doi.org/10.1037/0021-9010.91.1.233"
Strong ties,OpenAlex,"In social network analysis and mathematical sociology, interpersonal ties are defined as information-carrying connections between people. Interpersonal ties, generally, come in three varieties: strong, weak or absent.",22,"https://doi.org/10.5465/amj.2006.20785503,https://doi.org/10.5465/amj.2010.48037420,https://doi.org/10.2307/256367"
Worry,OpenAlex,"Worrying is the mental distress or agitation resulting from anxiety, usually coming from a place of anticipatory fear (terror) or fear coming from a present threat (horror). With more understanding of the situation, worry becomes concern, the recognition of a future outcome that could be troubling, without necessarily having fear in that outcome.",22,"https://doi.org/10.1037/a0013214,https://doi.org/10.1037/0021-9010.74.5.787,https://doi.org/10.1348/096317902320369721"
Cognitive complexity,OpenAlex,"Cognitive complexity describes cognition along a simplicity-complexity axis. It is the subject of academic study in fields including personal construct psychology, organisational theory and human–computer interaction.",21,"https://doi.org/10.1037/0021-9010.81.1.102,https://doi.org/10.1037/0021-9010.92.5.1320,https://doi.org/10.1037/0021-9010.75.1.43"
Norm of reciprocity,OpenAlex,"The norm of reciprocity requires that people repay in kind what others have done for them. It can be understood as the expectation that people will respond to each other by returning benefits for benefits, and with either indifference or hostility to harms.",21,"https://doi.org/10.1037/0021-9010.86.1.42,https://doi.org/10.1037/0021-9010.81.3.219,https://doi.org/10.1037/0021-9010.92.4.1159"
Presenteeism,OpenAlex,"Presenteeism or working while sick is the act or culture of employees continuing to work as a performative measure, despite having reduced productivity levels or negative consequences. Reduced productivity during presenteeism is often due to illness, injury, exhaustion, or other conditions, but presenteeism can also describe working while contagiously sick, which has the added risk of creating a workplace epidemic.",21,"https://doi.org/10.1002/job.630,https://doi.org/10.1111/joop.12051,https://doi.org/10.1348/096317901167370"
Safety climate,OpenAlex,"Safety culture is the element of organizational culture which is concerned with the maintenance of safety and compliance with safety standards. It is informed by the organization's leadership and the beliefs, perceptions and values that employees share in relation to risks within the organization,  workplace or community.",21,"https://doi.org/10.1037/0021-9010.91.4.946,https://doi.org/10.1037/a0016172,https://doi.org/10.1037/0021-9010.85.4.587"
Social venture capital,OpenAlex,"Social venture capital is a form of investment funding that is usually funded by a group of social venture capitalists or an impact investor to provide seed-funding investment, usually in a for-profit social enterprise, in return to achieve an outsized gain in financial return while delivering social impact to the world. There are various organizations, such as Venture Philanthropy (VP) companies and nonprofit organizations, that deploy a simple venture capital strategy model to fund nonprofit events, social enterprises, or activities that deliver a high social impact or a strong social causes for their existence.",21,"https://doi.org/10.2307/30040630,https://doi.org/10.1177/0149206306293860,https://doi.org/10.1177/0149206317690584"
Wechsler Adult Intelligence Scale,OpenAlex,"The Wechsler Adult Intelligence Scale (WAIS) is an IQ test designed to measure intelligence and cognitive ability in adults and older adolescents. For children between the ages of 6 and 16, Wechsler Intelligence Scale for Children (WISC) is commonly used.",21,"https://doi.org/10.1037/0021-9010.88.2.195,https://doi.org/10.1111/j.1744-6570.1948.tb01292.x,https://doi.org/10.1016/j.erap.2007.08.003"
Change management (ITSM),OpenAlex,"Change management is an IT service management discipline. The objective of change management in this context is to ensure that standardized methods and procedures are used for efficient and prompt handling of all changes to control IT infrastructure, in order to minimize the number and impact of any related incidents upon service.",20,"https://doi.org/10.5465/256474,https://doi.org/10.2307/256474,https://doi.org/10.5465/amj.2008.31767217"
Differential item functioning,OpenAlex,"Differential item functioning (DIF) is a statistical property of a test item that indicates how likely it is for individuals from distinct groups, possessing similar abilities, to respond differently to the item. It manifests when individuals from different groups, with comparable skill levels, do not have an equal likelihood of answering a question correctly.",20,"https://doi.org/10.1037/0021-9010.91.6.1292,https://doi.org/10.1037/0021-9010.87.3.517,https://doi.org/10.1037/a0018966"
